,,System.Xml.XmlElement,,,,,,,,,System.Xml.XmlElement,,,,,,,,,,,,,,,,,,,,,,,,
,№,LLumar (Ударопрочные),LLumar,,,,,Себес,Достава,Отрез,1 рул,5 рул,20 рул,АКЦИЯ!,Склад,,,,,ИТОГО,Минимум СТОК,Начатые,Предзаказ,,,,,,,,,,,,
,,,Ширина,Длина,Толщина,Описание плёнки,Гарант,,,,,,,,Подвал,Туалет,Офис,Льва 32,БЧК,,,,,,,,,,,,,,,,
,16,"Illision(1,524 х30м) ext наружная",1.52,30,50 мкм,"зеркало снутри, темная снаружи",3,75,82.5,13.75,231,189.75,140.25,System.Xml.XmlElement,3,,,6,41,50,30,,,,,,,,,,,,,,
,17,"Illision(1,524 х30м) int внутрен",1.52,30,50 мкм,"зеркало снаружи, темная снутри",3,72,79.2,13.2,221.76,182.16000000000003,134.63999999999999,,8,,,,54,62,30,,,,,,,,,,,,,,
,18,"R Silver 05(1,524х 30м)",1.52,30,50 мкм,Зеркальная серебро. 5%,5,52,57.2,9.5333333333333332,160.16000000000003,131.56,97.240000000000009,,6,,,,123,129,,,,,,,,,,,,,,,
,19,"R Silver 05(1,524х 60м)",1.52,60,50 мкм,,5,102,112.2,9.35,314.16000000000003,258.06,190.74,,8,,,,47,55,,,,,,,,,,,,,,,
,20,"R Silver 05(1,83х 30м)",1.83,30,50 мкм,,5,63,69.3,11.55,194.04,159.38999999999999,117.81,,,2,,8,51,61,,,,,,,,,,,,,,,
,21,"R Silver 05(1,83х 60м)",1.83,60,50 мкм,,5,122,134.19999999999999,11.183333333333334,375.76,308.65999999999997,228.14,,,,,,2,2,,,,,,,,,,,,,,,
,22,"Silver 05 EXT 2 mil (1,525 х30м)",1.52,30,50 мкм,Зеркальная серебро. Для наружней установки. 5-15%,5,55,60.5,10.083333333333334,169.4,139.15,102.85,,5,,,,22,27,,,,,,,,,,,,,,,
,23,"Silver 05 EXT 2 mil (1,83 х30м)",1.83,30,50 мкм,,5,65,71.5,11.916666666666666,200.20000000000002,164.45,121.55,,,2,,36,7,45,,,,,,,,,,,,,,,
,24,"Silver 05 EXT 2 mil (1,83 х60м)",1.83,60,50 мкм,,5,128,140.80000000000001,11.733333333333333,394.24,323.84000000000003,239.36,,,1,,29,11,41,,,,,,,,,,,,,,,
,25,"Silver 05 EXT 4 mil (1,52 х30м)",1.52,30,100 мкм,,5,55,60.5,10.083333333333334,169.4,139.15,102.85,,,,,,50,50,,,,,,,,,,,,,,,
,26,"Silver 15 EXT 3 mil (1,525 х30м)",1.52,30,75 мкм,,5,100,110,18.333333333333332,308,253,187,,2,,,8,32,42,,,,,,,,,,,,,,,
,27,"Silver 15 EXT 2 mil (1,525 х30м)",1.52,30,50 мкм,,5,55,60.5,10.083333333333334,169.4,139.15,102.85,,7,,,,221,228,,,,,,,,,,,,,,,
,28,"Silver 15 EXT 2 mil (1,83 х30м)",1.83,30,50 мкм,,5,65,71.5,11.916666666666666,200.20000000000002,164.45,121.55,,,3,,46,12,61,,,,,,,,,,,,,,,
,29,"Silver 15 EXT 2 mil (1,83 х60м)",1.83,60,50 мкм,,5,128,140.80000000000001,11.733333333333333,394.24,323.84000000000003,239.36,,,1,,8,77,86,,,,,,,,,,,,,,,
,30,"Silver 15 EXT 4 mil(1,525 х30м)",1.52,30,100 мкм,,5,82,90.2,15.033333333333333,252.56,207.46,153.34,,2,,,,116,118,,,,,,,,,,,,,,,
,31,"R silver 15(1,524х30м)",1.52,30,50 мкм,Зеркальная серебро. 15-50%,5,52,57.2,9.5333333333333332,160.16000000000003,131.56,97.240000000000009,,5,,,,148,153,,,,,,,,,,,,,,,
,32,"R  silver 15(1,525х 60м)",1.52,60,50 мкм,,5,102,112.2,9.35,314.16000000000003,258.06,190.74,,4,,,,,4,,,,,,,,,,,,,,,
,33,System.Xml.XmlElement,1.83,30,50 мкм,,5,63,69.3,11.55,194.04,159.38999999999999,117.81,,,2,,30,59,91,,,,,,,,,,,,,,,
,34,"R silver 15(1,83х 60м)",1.83,60,50 мкм,,5,122,134.19999999999999,11.183333333333334,375.76,308.65999999999997,228.14,,,4,,16,51,71,,,,,,,,,,,,,,,
,35,System.Xml.XmlElement,1.52,30,50 мкм,,5,52,57.2,9.5333333333333332,160.16000000000003,131.56,97.240000000000009,,6,,,,55,61,,,,,,,,,,,,,,,
